AP,HE,accuracy,aimTime,caliber,corrShotMultiplier,dispersionAngle,dispersionMax,dispersionMin,inst_num,isCluster,isFireAndForget,isHEAT,isKE,isMissile,isNapalm,isRadar,isSEAD,isSmoke,loadType,maxrangeDef,maxrangeGround,maxrangeHeli,maxrangePlane,maxrangeShip,minrangeDef,minrangeGround,minrangeHeli,minrangePlane,minrangeShip,missileAcceleration,missileCorrInterval,missileSpeedMax,muzzleVelocity,name,noiseMalus,radiusDamage,radiusNapalm,radiusSmoke,radiusSuppress,salvoLength,salvoReload,salvoVisAmmo,shotReload,simultShots,stabilizer,supplyPerShot,suppress,typeArme
,1,0.8,0.2,7.62mm,,0.57,,,121409,,,,,,,,,,,,595,595,,595,,2,,,2,,,,3461.54,SCAR-H,1.762,3,,,10,8,4,80,2,1,0.4,8,50,Battle Rifle
11,1,0.6,4,MMW,,1.15,,,122931,true,true,true,,true,,,,,,,2450,,,2450,,175,,,175,500,1.6,750,500,Akeron MP,2,5,,,400,2,15,2,4,1,0.1,400,150,ATGM
12,1,0.6,2,SACLOS,,0.57,,,123657,,,true,,true,,,,,,,2625,,,2625,,87,,,87,1000,1.1,1400,1000,Starstreak HVM,2,5,,,400,1,5,1,1,1,0.05,98,150,ATGM
,7,0.5,1,SACLOS,,0.57,,,77463,,,,,true,,,,,,,,2975,2450,,,,,,,2000,10,9000,2000,9M311-M1,2,245,,,490,8,20,8,1,1,0.5,868,280,SAM
8,1,0.25,,500kg,,0.57,,,88916,true,,true,,,,,,,,,3500,,,3500,,,,,,,,,576.92,RBK 500U,6,275,,,250,4,5,4,0.2,2,0.25,2500,300,AT Cluster Bomb
,1,0.05,1.4,7.62mm,,0.57,,,123211,,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,Type 63,1.762,3,,,10,3,12,30,8,1,0.05,3,50,Battle Rifle
,5,0.7,1,Infrared,,0.57,,,84722,,true,,,true,,,,,,,,2450,1925,,,,,,,2000,10,9000,2000,9K333 Verba,2,175,,,350,1,6,1,6,1,0.7,63,200,SAM
22,1,0.6,,105mm HEAT,,0.86,,,80646,,,true,,,,,,,,,875,,,875,,,,,,,,,769.23,RPG-29,3.1,2.5,,,262.5,1,6,1,1,1,0.05,10,420,LAW
10,1,0.65,1,SACLOS,,1.15,,,121895,,true,true,,true,,,,,,,1575,,,1575,,175,,,175,500,1.6,750,500,Wirkmittel 1800+,2,5,,,400,1,6,1,1,1,0.1,69,150,ATGM
19,1,0.4,2,SACLOS,,1.43,,,78556,,,true,,true,,,,,,,2450,,,2450,,175,,,175,500,2.7,750,500,9M113 Konkurs,2,5,,,400,1,5,1,1,1,0.4,75,150,ATGM
,0.75,0.2,1,7.62mm,,0.57,,,86196,,,,,,,,,,,,1050,1050,,1050,,,,,,,,,3461.54,GShG-7.62,1.15,12,,,40,15,2,200,0.4,1,0.1,10,55,Gatling Gun
27,1,0.6,,SACLOS,,1.72,,,122861,,,true,,true,,,,,,,2450,,,2450,,175,,,175,750,1.7,900,500,HOT 3,2,5,,,400,4,20,4,1,1,0.5,756,150,ATGM
8,1,,10,300mm,1,0.06,700,175,78113,true,,true,,,,,,,,,52500,,,52500,,8400,,,8400,,,,1057.69,9M55K5 [10s],3,250,,,250,12,180,12,2,1,,1800,680,MLRS
,7,,10,155mm,,0.06,140,140,121835,,,,,,,,,,,,36050,,,36050,,3605,,,3605,,,,1057.69,L/52 [10s],2.03,155,,,310,3,30,3,3,1,,253,357,Howitzer
26,1,0.65,,MMW,,1.72,,,121815,,true,true,,true,,,,,,,2625,,,2625,,175,,,175,750,1.2,1500,750,PARS 3 LR,2,5,,,400,1,3,1,3,1,0.65,270,150,ATGM
,10,0.4,,227kg,,0.57,,,87214,,,,,,,,,,,,3500,,,3500,,,,,,,,,576.92,BAT.120,6,112.5,,,191,12,5,12,0.15,4,0.4,1991,600,Retarded HE Bomb
17,1,0.55,1,125mm,,0.29,,,83965,,,,true,,,,,,,,2275,,,2275,,,,,,,,,3461.54,2A46M [Auto],2.25,2.5,,,312.5,24,7.5,24,7.5,1,0.4,600,144,Main Gun
,,,6,240mm,,0.06,242,242,121490,,,,,,,,,true,,,9625,,,9625,,962,,,962,,,,826.92,2B8 [35s],2.07,80,,250,240,1,10,1,1,1,,128,,Mortar
,1,0.6,1,40mm,,0.57,,,123311,,,,,,,,,,,,1925,1575,,1925,,,,,,,,,3461.54,K40,1.8,15,,,50,2,1.8,10,1.4,1,0.35,15,80,Autocannon
30,1,0.5,,SALH,,0.57,,,89587,,,true,,true,,,,,,,3325,,,3325,,700,,,700,2000,10,4000,2000,AS30L,2,5,,,400,1,0.2,1,0.2,1,0.5,900,150,AGM
,4,0.55,1.4,125mm,,0.29,,,123082,,,,,,,,,,,,2275,,,2275,,,,,,,,,2692.31,2A46,2.25,47,,,156.5,1,6.6,1,1,1,0.4,25,144,Main Gun
,5,0.6,1,Infrared,,0.57,,,123563,,true,,,true,,,,,,,,2625,2100,,,,,,,2000,10,9000,2000,KP-SAM,2,175,,,350,2,10,2,2,1,0.6,134,200,SAM
12,1,0.5,1,120mm,,0.29,,,79247,,,,true,,,,,,,,2100,,,2100,,,,,,,,,3461.54,L11A5,2.2,2.5,,,300,1,8.5,1,1,1,0.35,25,138,Main Gun
,1,0.6,0.4,9mm,,0.57,,,84989,,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,Škorpion,1.9,3.5,,,10,6,3,60,1.5,1,0.3,6,36,SMG
,6,0.65,,SemAct radar,,0.57,,,85459,,true,,,true,,true,,,,2800,,2975,3850,,,,,,,2000,10,10000,2000,RIM-162 ESSM Block 2,2,210,,,420,4,4,4,1,1,0.65,240,240,Naval SAM
,0.5,0.15,1,7.62mm,,0.57,,,78551,,,,,,,,,,,,875,525,,875,,,,,,,,,3461.54,Twin PKT,1.762,3,,,10,20,8,200,0.4,1,0.05,40,55,MMG
,11,,10,GPS-guided,1,0.06,35,35,123776,,,,,,,,,,,,42000,,,42000,,8400,,,8400,,,,1057.69,M31A2 [10s],2.51,136,,,680,12,132,12,2,1,,1020,450,MLRS
,1,0.6,1,25mm Radar,,0.11,,,122173,,,,,,,true,,,,,1575,,,1575,,,,,,,,,3461.54,Type 09,5.4,13.5,,,76.5,68,15,500,0.2,1,0.5,500,140,Gatling Gun
,1,0.95,2,7.62mm,,0.57,,,121803,,,,,,,,,,,,1050,700,,1050,,87,,,87,,,,3461.54,G28,1.4,3,,,10,1,3,1,3,1,0.2,6,55,Sniper Rifle
,1,0.8,0.2,5.56mm,,0.57,,,84680,,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,L85A2,1.556,2.5,,,10,8,3,80,1.5,1,0.8,8,40,Assault Rifles
,5,0.6,1,Infrared,,0.57,,,87031,,true,,,true,,,,,,,,2625,2100,,,,,,,2000,10,9000,2000,TY-90,2,210,,,420,4,2,4,2,1,0.6,270,240,SAM
,1,0.45,,30mm Radar,,0.11,,,85654,,,,,,,true,,,,2625,1050,2625,1575,1050,,,,,,,,,3461.54,H/PJ-12,6.4,46,,,150,30,6,300,0.2,1,0.45,10,,CIWS
,4,0.5,1.4,120mm,,0.29,,,79248,,,,,,,,,,,,2100,,,2100,,,,,,,,,2692.31,L11A5,2.2,45,,,150,1,8.5,1,1,1,0.35,25,138,Main Gun
,4,0.4,1,Infrared,,0.57,,,79576,,true,,,true,,,,,,,,2275,1820,,,,,,,1000,10,5000,1000,Misaagh-1,2,140,,,280,1,4,1,4,1,0.4,50,160,SAM
22,1,0.6,1,125mm,,0.29,,,121569,,,,true,,,,,,,,2275,,,2275,,,,,,,,,3461.54,ZPT-98 [Auto],2.25,2.5,,,312.5,42,7.5,42,7.5,1,0.55,1050,144,Main Gun
14,1,0.5,1,130mm HEAT,,0.29,,,84244,,,true,,,,,,,,,1925,,,1925,,,,,,,,,3461.54,M-46,2.22,2.5,,,305,1,10,1,1,1,0.4,20,141,Main Gun
,0.5,0.4,2,5.56mm,,0.57,,,77825,,,,,,,,,,,,770,595,,770,,,,,,,,,3461.54,Minimi Para,2.25,2.5,,,50,20,5,200,0.8,1,0.2,20,40,SAW
16,1,0.7,2,SALH,,1.72,,,121860,true,,true,,true,,,,,,,2975,,,2975,,175,,,175,700,1.2,1400,1250,HJ-20,2,5,,,400,1,1,1,1,1,0.7,213,150,ATGM
14,1,0.5,1,122mm HEAT,,0.29,,,77495,,,true,,,,,,,,,1925,,,1925,,,,,,,,,3461.54,2A31,2.22,2.5,,,305,1,8.5,1,1,1,0.4,20,141,Main Gun
12,1,0.65,2,SACLOS,,0.57,,,83633,,,true,,true,,,,,,,2625,,,2625,,175,,,175,1000,1.1,1400,1000,Starstreak II,2,5,,,400,8,20,8,1,1,0.65,780,150,ATGM
22,1,0.65,1,125mm,,0.29,,,84114,,,,true,,,,,,,,2275,,,2275,,,,,,,,,3461.54,2A46M4 [Auto],2.25,2.5,,,312.5,24,6.6,24,6.6,1,0.5,600,144,Main Gun
26,1,0.5,,Infrared,,0.57,,,123774,,true,true,,true,,,,,,,3500,,,3500,,700,,,700,2000,10,4000,2000,SPEAR 3,2,5,,,400,2,1.75,2,0.4,1,0.5,1400,150,AGM
,3,,4,81mm,,0.06,105,105,78771,,,,,,,,,,,,4900,,,4900,,490,,,490,,,,692.31,L16A2,1.54,40.5,,,121.5,5,8,5,2,1,,100,187,Mortar
30,1,0.5,,TV-guided,,0.57,,,89387,,true,true,,true,,,,,,,3500,,,3500,,700,,,700,2000,10,4000,2000,Kh-59M,2,5,,,400,2,2,2,0.4,1,0.5,1667,150,AGM
,,,5,152mm,,0.06,210,210,120557,,,,,,,,,true,,,25550,,,25550,,2555,,,2555,,,,1057.69,Type 83 [10s],1.81,122,,150,304,5,15,5,6,1,,185,,Howitzer
,5,0.6,1,Infrared,,0.57,,,79699,,true,,,true,,,,,,,,2625,2100,,,,,,,2000,10,9000,2000,FIM-92J Stinger,2,175,,,350,4,10,4,2,1,0.6,268,200,SAM
,20,0.5,0.2,Laser-guided,,0.57,,,87601,,true,,,true,,,,,,,3500,,,3500,,1400,,,1400,1000,10,750,1000,GBU-56 LJDAM,2,325,,,650,2,1,2,1,1,0.5,4000,600,Laser Guided HE Bomb
19,1,0.65,1,120mm,,0.29,,,78999,,,,true,,,,,,,,2275,,,2275,,,,,,,,,3461.54,L44,2.2,2.5,,,300,1,6.6,1,1,1,0.5,25,138,Main Gun
6,1,,10,Cluster,,0.06,210,210,122916,true,,true,,,,,,,,,33950,,,33950,,3395,,,3395,,,,1057.69,Ogre [10s],2.03,250,,,310,6,120,6,6,1,,505,357,Howitzer
,5,,6,120mm,,0.06,105,105,121981,,,,,,,,,,,,8400,,,8400,,840,,,840,,,,826.92,PLA-120,1.8,60,,,180,3,10,3,4,1,,105,265,Mortar
,1,0.45,0.2,7.62mm,,0.57,,,78930,,,,,,,,,,,,455,455,,455,,2,,,2,,,,3461.54,QCW-05,1,3,,,10,8,2,80,1,1,0.45,8,40,SMG
,3,0.35,1.4,107mm HEAT,,0.57,,,122655,,,,,,,,,,,,1750,,,1750,,,,,,,,,2692.31,B-11,2.06,40,,,132.5,1,8.5,1,1,1,0.05,20,122,Recoilless Rifle
,0.5,0.15,1,7.62mm,,0.57,,,77511,,,,,,,,,,,,875,525,,875,,,,,,,,,3461.54,PKT,1.762,3,,,10,10,2,100,0.8,1,0.05,10,55,MMG
,0.5,0.2,2,7.62mm,,0.57,,,79310,,,,,,,,,,,,875,595,,875,,87,,,87,,,,3461.54,MG3,2.25,3,,,50,20,5,200,0.8,1,0.05,20,55,LMG
24,1,0.55,1,SACLOS,,1.43,,,84701,,,true,,true,,,,,,,1575,,,1575,,175,,,175,500,1.7,750,500,9K115-2 Metis-M1,2,5,,,400,1,5,1,1,1,0.1,107,150,ATGM
25,1,0.6,2,SACLOS,,1.15,,,78147,,,true,,true,,,,,,,2800,,,2800,,175,,,175,750,2.3,900,750,9M133 Kornet-M,2,5,,,400,1,5,1,1,1,0.5,243,150,ATGM
2,1,0.2,1,20mm,,0.57,,,85690,,,,true,,,,,,,,1575,,,1575,,,,,,,,,3461.54,M197 Vulcan,1.4,7.5,,,25,6,0.6,50,0.4,1,0.1,45,40,Gatling Gun
,,,4,60mm,,0.06,175,175,83129,,,,,,,,,true,,,3850,,,3850,,385,,,385,,,,692.31,HM-12,1.4,30,,75,90,12,4,12,2,1,,96,,Mortar
,5,0.65,0.2,Radar,,0.57,,,121525,,true,,,true,,true,,,,,,,7700,,,,,700,,1500,10,20000,1500,AIM-120D AMRAAM,2,175,,,350,1,2,1,2,1,0.65,1000,200,AAM
,4,0.65,1.4,120mm,,0.29,,,123979,,,,true,,,,,,,,2275,,,2275,,,,,,,,,2692.31,DRDO-120,2.2,45,,,150,1,7.5,1,1,1,0.6,25,138,Main Gun
,1,0.2,0.4,37mm,,1.15,,,88129,,,,,,,,,,,,2275,1575,2100,2275,,,,,,,,,5769.23,N-37,1.74,14,,,46.5,5,2,20,0.4,1,0.2,40,74,Autocannon
,1,0.4,1.4,7.62mm,,0.57,,,123209,,,,,,,,,,,,700,595,,595,,2,,,2,,,,3461.54,Type 63,1.762,3,,,10,3,12,30,8,1,0.05,3,50,Battle Rifle
16,1,0.6,,SALH,,1.72,,,122958,true,,true,,true,,,,,,,2975,,,2975,,175,,,175,1250,1.2,2500,1250,AKD-X,2,5,,,400,1,1,1,1,1,0.6,268,150,ATGM
10,1,0.35,1,85mm,,0.29,,,123259,,,true,,,,,,,,,1925,,,1925,,,,,,,,,3461.54,T62-85TC,1.85,2.5,,,212.5,1,7.5,1,1,1,0.1,15,98,Main Gun
25,1,0.6,2,SACLOS,,1.15,,,121523,,,true,,true,,,,,,,2800,,,2800,,175,,,175,750,2.3,900,750,9M133 Kornet-M,2,5,,,400,4,20,4,1,1,0.5,972,150,ATGM
,9,0.7,0.2,Radar,,0.57,,,121684,,true,,,true,,true,,,,,,,5600,,,,,,,2000,10,15000,2000,HQ-9B,2,315,,,630,4,30,4,4,1,0.7,1152,360,SAM
,2,0.15,1,30mm Frag,,0.86,,,86302,,,,,,,,,,,,1750,,,1750,,52,,,52,,,,769.23,Twin AG-17,2.25,35,,,70,20,15,60,0.4,1,0.1,160,70,Grenade Launcher
,20,0.5,,Cruise,,0.57,,,121533,,,,,,,,,,,,630,,,630,,,,,,,,,865.38,AGM-158 JASSM,1.4,325,,,650,1,15,1,0.4,1,0.5,1100,600,Cruise missile
22,1,0.5,2,SACLOS,,1.15,,,77963,,,true,,true,,,,,,,2275,,,2275,,175,,,175,500,2.1,750,500,MILAN F3,2,5,,,400,1,5,1,1,1,0.05,119,150,ATGM
,1,0.95,2,9mm,,0.57,,,83584,,,,,,,,,,,,1050,700,,1050,,87,,,87,,,,3461.54,VSS Vintorez,1.06,3,,,10,1,3,1,3,1,0.2,6,55,Sniper Rifle
20,4,0.65,0.2,Radar,,0.29,,,122321,,true,true,,true,,,,,,,,,,5600,,,,,700,400,10,2100,400,YJ-83,2,200,,,400,2,1,2,0.4,1,0.65,2800,,SSM
,0.5,0.2,1,7.62mm,,0.57,,,77911,,,,,,,,,,,,875,525,,875,,,,,,,,,3461.54,L112A1,1.762,3,,,10,10,2,100,0.8,1,0.1,10,55,MMG
21,1,0.45,2,SACLOS,,1.43,,,121513,,,true,,true,,,,,,,2450,,,2450,,175,,,175,500,2.7,750,500,9M113 Konkurs-M,2,5,,,400,5,20,5,1,1,0.2,585,150,ATGM
,1,0.6,0.2,5.45mm,,0.57,,,123183,,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,NK-11 (Rifle),1.473,2.5,,,10,8,3,80,1.3,1,0.4,8,40,Assault Rifles
,,,15,152mm,,0.06,245,245,77518,,,,,,,,,true,,,19250,,,19250,,1925,,,1925,,,,1057.69,2A33 [15s],2.01,152,,175,304,10,15,10,7,1,,338,,Howitzer
,7,,10,155mm,,0.06,140,140,123363,,,,,,,,,,,,41300,,,41300,,4130,,,4130,,,,1057.69,Type 107 [10s],2.01,155,,,310,5,30,5,5,1,,421,357,Howitzer
,1,0.3,1,30mm,,0.57,,,121553,,,,,,,,,,,,1750,1575,,1750,,,,,,,,,3461.54,Twin 2A42,1.6,11.5,,,37.5,4,1,15,0.4,1,0.2,30,60,Autocannon
,1,0.8,0.2,5.8mm,,0.57,,,121575,,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,QBZ-192,1,2.5,,,10,8,3,80,1.3,1,0.8,8,40,Assault Rifles
,1.5,0.6,0.6,20mm,,0.86,,,121613,,,,,,,,,,,,875,,,875,,52,,,,,,,769.23,QTS-11 (Airburst),1.3,25,,,90,1,1.6,1,1.6,1,0.4,10,50,Grenade Launcher
1,1,0.15,1,14.5mm,,0.57,,,82193,,,,true,,,,,,,,1400,,,1400,,,,,,,,,3461.54,KPVT,1.29,5.5,,,18.5,6,2,40,0.8,1,0.05,20,40,HMG
20,6,0.7,0.2,Radar,,0.29,,,89488,,true,true,,true,,,,,,,,,,6300,,,,,700,500,10,3000,500,YJ-12,2,200,,,400,2,1,2,0.4,1,0.7,5500,,SSM
24,1,0.7,2,SALH,,0.63,,,122036,,,true,,true,,,,,,,2800,,,2800,,175,,,175,700,1.2,1400,700,AGM-114K Hellfire II,2,4.62,,,400,1,5,1,1,1,0.5,291,150,ATGM
,1,0.3,0.6,7.62mm,,0.57,,,82548,,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,SIG 716,1.762,3,,,10,6,6,60,3,1,0.15,6,50,Battle Rifle
16,1,0.5,1,152mm HEAT,,0.29,,,77483,,,true,,,,,,,,,1925,,,1925,,,,,,,,,3461.54,2A65,2.52,2.5,,,380,1,6,1,1,1,0.4,30,175,Main Gun
15,1,0.6,1,125mm,,0.29,,,123926,,,,true,,,,,,,,2275,,,2275,,,,,,,,,3461.54,2A46M [Auto],2.25,2.5,,,312.5,24,7.5,24,7.5,1,0.5,600,144,Main Gun
,5,0.6,2,SACLOS,,1.15,,,122997,,,,,true,,,,,,,2800,,,2800,,175,,,175,750,2.3,900,750,Bulat,2,5,,,400,1,5,1,1,1,0.5,243,150,ATGM
,9,0.7,0.2,Radar,,0.57,,,121485,,true,,,true,,true,,,,,,,5950,,,,,,,2000,10,15000,2000,40N6E,2,315,,,630,4,30,4,4,1,0.7,1224,360,SAM
,1,0.4,1,30mm,,0.57,,,121599,,,,,,,,,,,,1750,1575,,1750,,,,,,,,,3461.54,ZPT-99,1.6,11.5,,,37.5,2,1.4,15,1,1,0.3,15,60,Autocannon
21,1,0.55,2,SACLOS,,0.74,,,81799,,,true,,true,,,,,,,2800,,,2800,,175,,,175,1000,1.5,1200,1000,9M114 Kokon,2,5,,,400,1,5,1,1,1,0.35,147,150,ATGM
,2,0.25,1.4,73mm,,0.57,,,82457,,,,,,,,,,,,1400,,,1400,,,,,,,,,2692.31,SPG-9,1.73,27.5,,,91.5,1,7.5,1,1,1,0.05,15,84,Recoilless Rifle
14,1,0.6,,90mm,,0.86,,,121790,,,true,,,,,,,,,1225,,,1225,,,,,,,,,769.23,RGW Wirkmittel 90 [SMK],2.68,2.5,,,210,1,5,1,1,1,0.05,20,360,LAW
,1.5,0.65,0.8,25mm,,0.57,,,121396,,,,,,,,,,,,1750,1575,,1750,,,,,,,,,3461.54,M242 Bushmaster I,1.5,15,,,50,10,3.8,75,1.2,1,0.25,75,80,Autocannon
,0.5,0.3,2,7.62mm,,0.57,,,122162,,,,,,,,,,,,875,595,,875,,,,,,,,,3461.54,MGA-3,2.25,3,,,50,20,5,200,0.8,1,0.15,20,55,SAW
,2,0.2,0.2,70mm,,0.57,,,85704,,,,,,,,,,,,2100,,,2100,,700,,,700,,,,2307.69,Hydra 70,1.466667,26.5,,,87.5,19,5,19,0.2,2,0.1,180,161,Rocket Pod
26,1,0.4,,Electro-optical,,0.57,,,122446,,true,true,,true,,,,,,,2975,,,2975,,700,,,700,1250,0.7,2500,1250,AGM-65B [HOLD],2,5,,,400,1,1.5,1,3,1,0.4,332,150,ATGM
,,,4,120mm,,0.06,175,175,80903,,,,,,,,,true,,,7700,,,7700,,770,,,770,,,,826.92,Tampella,1.8,60,,150,180,6,4,6,4,1,,105,,Mortar
,1,0.3,1,7.62mm,,0.57,,,82021,,,,,,,,,,,,525,525,,525,,2,,,2,,,,3461.54,Type 68,1.762,3,,,10,4,6,40,3,1,0.15,4,40,Assault Rifles
,11,,10,227mm,1,0.06,700,175,81257,,,,,,,,,,,,42000,,,42000,,8400,,,8400,,,,1057.69,M31 [10s],2.51,136,,,680,12,132,12,2,1,,1020,450,MLRS
,1,0.3,1,5.45mm,,0.57,,,77583,,,,,,,,,,,,525,525,,525,,2,,,2,,,,3461.54,AK-74M,1.545,2.5,,,10,4,6,40,3,1,0.2,4,40,Assault Rifles
,5,,8,120mm,,0.06,105,105,77508,,,,,,,,,,,,8400,,,8400,,840,,,840,,,,826.92,2A60 Nona,1.8,60,,,180,3,12,3,4,1,,105,265,Mortar
,1,0.4,0.4,25mm,,1.15,,,121531,,,,,,,,,,,,2450,1575,2800,2450,,,,,,,,,5769.23,GAU-22/A,1.5,40,,,125,10,2,390,0.2,1,0.4,56,115,Autocannon
,7,,10,155mm,,0.06,140,140,77908,,,,,,,,,,,,24500,,,24500,,2450,,,2450,,,,1057.69,L31 [10s],2.03,155,,,310,3,30,3,3.4,1,,253,357,Howitzer
,6,,10,122mm,,0.06,122,122,121986,,,,,,,,,,,,23100,,,23100,,2310,,,2310,,,,1057.69,PL-96 [10s],2.01,122,,,244,5,30,5,7.5,1,,331,281,Howitzer
26,1,0.4,,Electro-optical,,0.57,,,87101,,true,true,,true,,,,,,,3150,,,3150,,700,,,700,2000,10,4000,2000,AGM-65G Maverick,2,5,,,400,2,2,2,0.4,1,0.4,1040,150,AGM
,9,0.6,0.2,Radar,,0.57,,,121885,,,,,true,,true,,,,,,2800,4900,,,,,,,1250,10,15000,1250,HQ-22B,2,315,,,630,4,30,4,1,1,0.05,864,360,SAM
,4,0.5,1.4,125mm,,0.29,,,79047,,,,,,,,,,,,2275,,,2275,,,,,,,,,2692.31,2A46M [Auto],2.25,47,,,156.5,28,7.5,28,7.5,1,0.4,700,144,Main Gun
4,1,0.45,1,35mm,,0.57,,,121845,,,,true,,,,,,,,1925,,,1925,,,,,,,,,3461.54,KCE 30,2.14,21.5,,,71.5,34,10,252,0.4,1,0.4,240,114,Anti-Aircraft Autocannon
,1,0.95,2,8.6mm,,0.57,,,123250,,,,,,,,,,,,1400,700,,1400,,87,,,87,,,,3461.54,AWM,1.4,5,,,16,1,4,1,4,1,0.2,12,80,Sniper Rifle
,1,0.4,1,5.45mm,,0.57,,,123179,,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,Type 88,1.545,2.5,,,10,4,6,40,3,1,0.4,4,40,Assault Rifles
,3,0.7,1.4,120mm,,0.29,,,121908,,,,,,,,,,,,2275,,,2275,,,,,,,,,2692.31,L/55,2.2,45,,,150,1,6.6,1,1,1,0.6,25,138,Main Gun
,1,0.95,2,7.62mm,,0.57,,,120545,,,,,,,,,,,,1050,700,,1050,,87,,,87,,,,3461.54,SVD,2.25,3,,,10,1,3,1,4,1,0.2,6,55,Sniper Rifle
21,1,0.6,1,125mm,,0.29,,,123052,,,,true,,,,,,,,2275,,,2275,,,,,,,,,3461.54,2A46,2.25,2.5,,,312.5,1,6,1,1,1,0.4,25,144,Main Gun
,1,0.3,1,7.62mm,,0.57,,,79640,,,,,,,,,,,,525,525,,525,,2,,,2,,,,3461.54,AK-47,1.762,3,,,10,4,6,40,3,1,0.15,4,40,Assault Rifles
28,1,0.7,,SALH,,1.72,,,121944,,,true,,true,,,,,,,2975,,,2975,,175,,,175,1250,0.7,2500,1250,LMUR Izd. 305,2,5,,,400,1,1,1,1,1,0.6,432,150,ATGM
,1,0.3,1,5.56mm,,0.57,,,77974,,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,M4A1 PIP,1.556,2.5,,,10,4,6,40,3,1,0.15,4,40,Assault Rifles
,12,,35,240mm,1,0.06,242,242,121489,,,,,,,,,,,,9625,,,9625,,962,,,962,,,,826.92,2B8 [35s],2.07,240,,,480,1,30,1,1,1,,256,552,Mortar
20,1,0.5,2,SALH,,0.74,,,83962,,,true,,true,,,,,,,2625,,,2625,,175,,,175,1000,1.4,1200,1000,9M119 Svir,2,5,,,400,1,6,1,1,1,0.4,125,150,ATGM
8,1,0.15,,500kg,,0.57,,,88835,true,,true,,,,,,,,,3500,,,3500,,,,,,,,,576.92,RBK 500U,6,275,,,250,8,5,8,0.2,2,0.15,3500,300,AT Cluster Bomb
4,,0.2,0.4,37mm,,1.15,,,123009,,,true,,,,,,,,,2275,,,2275,,,,,,,,,5769.23,N-37,1.74,1,,,46.5,5,2,20,0.4,1,0.2,40,74,Autocannon
,0.5,0.4,1.5,7.62mm,,0.57,,,79327,,,,,,,,,,,,770,595,,770,,,,,,,,,3461.54,RPK,2.25,3,,,50,8,4,80,0.8,1,0.2,8,40,SAW
,1,0.6,0.4,9mm,,0.57,,,124062,,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,MSMC,1,3.5,,,10,6,3,60,1.5,1,0.3,6,36,SMG
,2,0.15,1,30mm Frag,,0.86,,,79819,,,,,,,,,,,,1225,,,1225,,52,,,52,,,,769.23,AG-17,2.25,25,,,90,10,7,30,0.8,1,0.1,80,70,Grenade Launcher
,1,0.95,2,7.62mm,,0.57,,,123990,,,,,,,,,,,,1050,700,,1050,,87,,,87,,,,3461.54,L129A1,2.25,3,,,10,1,3,1,4,1,0.2,6,55,Sniper Rifle
,1,0.45,0.6,5.56mm,,0.57,,,124084,,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,HK416F,1,2.5,,,10,6,4.5,60,2.2,1,0.23,6,40,Assault Rifles
,5,0.65,1,SACLOS,,0.57,,,83634,,,,,true,,,,,,,,2800,2450,,,,,,,2000,10,12500,2000,Starstreak II,2,175,,,350,8,20,8,1,1,0.65,780,200,SAM
,4,0.55,1.4,125mm,,0.29,,,83966,,,,,,,,,,,,2275,,,2275,,,,,,,,,2692.31,2A46M [Auto],2.25,47,,,156.5,24,7.5,24,7.5,1,0.4,600,144,Main Gun
,1,0.95,2,8.6mm,,0.57,,,121922,,,,,,,,,,,,1400,700,,1400,,87,,,87,,,,3461.54,Mk 22 Mod 0,1.4,5,,,16,1,4,1,4,1,0.2,12,80,Sniper Rifle
,3,0.45,1.4,115mm,,0.29,,,79268,,,,,,,,,,,,2275,,,2275,,,,,,,,,2692.31,2A20,2.15,43.5,,,144,1,7.5,1,1,1,0.3,25,133,Main Gun
,1,0.6,0.6,7.62mm,,0.57,,,121415,,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,SCAR-H,1.762,3,,,10,6,6,60,3,1,0.2,6,50,Battle Rifle
,0.75,0.3,1,Napalm,,0.57,,,79332,,,,,,true,,,,,,350,,,350,,,,,,,,,423.08,LPO-50,4,25,75,,250,8,2,8,1,1,0.1,100,50,Flamethrower
,1,0.3,1.2,7.62mm,,0.57,,,82064,,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,Type 49,1.762,3,,,10,3,6,30,2,1,0.15,3,36,SMG
,0.5,0.2,2,7.62mm,,0.57,,,123242,,,,,,,,,,,,875,595,,875,,87,,,87,,,,3461.54,K16,2.25,3,,,50,10,5,100,1,1,0.05,10,55,LMG
,1,0.45,0.2,25mm Radar,,0.11,,,82354,,,,,,,true,,,,,,2625,2450,,,,,,,,,,3461.54,Type 87,5,9,,,69,83,15,1000,0.3,1,0.35,1000,100,Anti-Aircraft Autocannon
,4,0.5,1,Infrared,,0.57,,,123368,,true,,,true,,,,,,,,2450,1925,,,,,,,2000,10,9000,2000,HT-16PGJ,2,175,,,280,8,20,8,2,1,0.5,504,160,SAM
