AP,HE,accuracy,aimTime,caliber,corrShotMultiplier,dispersionAngle,dispersionMax,dispersionMin,inst_num,isCluster,isFireAndForget,isKEorHEAT,isMissile,isNapalm,isRadar,isSEAD,isSmoke,loadType,maxrangeDef,maxrangeGround,maxrangeHeli,maxrangePlane,maxrangeShip,minrangeDef,minrangeGround,minrangeHeli,minrangePlane,minrangeShip,missileAcceleration,missileCorrInterval,missileSpeedMax,muzzleVelocity,name,noiseMalus,radiusDamage,radiusNapalm,radiusSmoke,radiusSuppress,salvoLength,salvoReload,salvoVisAmmo,shotReload,simultShots,stabilizer,supplyPerShot,suppress,typeArme
,1,0.45,0.6,5.56mm,,0.57,,,88814,,,,,,,,,,,525,525,,525,,2,,,2,,,,3461.54,L85,1.556,2.5,,,10,6,4.5,60,2.2,1,0.3,6,40,Assault Rifles
,5,0.55,1.4,152mm,,0.29,,,85817,,,,,,,,,,,2100,,,2100,,,,,,,,,2692.31,XM-150,2.52,57,,,190,42,6,42,6,1,0.45,1260,175,Main Gun
,1,0.55,1,35mm Radar,,0.11,,,87206,,,,,,true,,,,,1050,2800,2625,1050,,,,,,,,,3461.54,M-35,5.4,13.5,,,76.5,92,15,460,0.4,1,0.25,680,140,Twin Autocannon
23,1,0.7,1,120mm,,0.29,,,84895,,,KE,,,,,,,,2275,,,2275,,,,,,,,,3461.54,LEW 120,2.2,2.5,,,300,1,7.5,1,1,1,0.5,25,138,Main Gun
,1,0.3,1,30mm Radar,,0.11,,,81516,,,,,,true,,,,,1050,2625,2450,1050,,,,,,,,,3461.54,HSS.831,5.2,11.5,,,72.5,138,15,1200,0.4,1,0.05,1200,120,Twin Autocannon
,1,0.3,1,5.56mm,,0.57,,,82626,,,,,,,,,,,525,525,,525,,2,,,2,,,,3461.54,C7,1.556,2.5,,,10,4,6,40,3,1,0.15,4,40,Assault Rifles
,2,0.4,1.4,82mm,,0.29,,,86320,,,,,,,,,,,1400,,,1400,,,,,,,,,2692.31,T21 Tarasnice,1.82,31,,,102.5,1,8,1,1,1,0.05,15,95,Recoilless Rifle
17,1,0.45,1,115mm,,0.29,,,88041,,,KE,,,,,,,,2275,,,2275,,,,,,,,,3461.54,2A20,2.15,2.5,,,287.5,1,10,1,1,1,0.15,25,133,Main Gun
,,,4,120mm,,0.06,175,175,81431,,,,,,,,true,,,7700,,,7700,,770,,,770,,,,826.92,AMOS,1.8,60,,150,180,6,4,6,4,2,,240,,Mortar
,1,0.6,0.2,5.56mm,,0.57,,,84539,,,,,,,,,,,525,525,,525,,2,,,2,,,,3461.54,AK5,1.556,2.5,,,10,8,3,80,1.5,1,0.4,8,40,Assault Rifles
,3,0.55,1.4,105mm,,0.29,,,86288,,,,,,,,,,,2275,,,2100,,,,,,,,,2692.31,OTO Melara 105mm M52,2.05,39.5,,,131.5,1,6,1,1,1,0.35,20,121,Main Gun
,5,,20,105mm,,0.06,210,210,87389,,,,,,,,,,,11200,,,11200,,1120,,,1120,,,,1057.69,M2,1.7,105,,,210,10,30,10,8,1,,350,235,Howitzer
,7,0.3,2,Radar,,0.29,,,93281,,,,true,,true,,,,,,,11200,,,,,700,,500,10,15000,500,R-33E Vympel,2,245,,,490,1,1,1,0.2,1,0.3,1000,280,AAM
,8,0.4,1,127mm,,0.29,,,89631,,,,,,,,,,2800,6125,2100,1400,6125,,,,,,,,,2692.31,OTO Breda Compact,2.27,95,,,156.5,5,6,5,1,1,0.4,200,72,Naval Gun
,1,0.45,1,30mm,,0.11,,,82116,,,,,,,,,,,1050,2625,1750,1050,,,,,,,,,3461.54,M-86,5.2,11.5,,,72.5,95,20,800,0.4,1,0.05,800,120,Twin Autocannon
17,1,0.5,1,105mm,,0.29,,,88562,,,KE,,,,,,,,2275,,,2275,,,,,,,,,3461.54,PLA 105,2.05,2.5,,,262.5,1,7.5,1,1,1,0.35,20,121,Main Gun
,4,0.5,1.4,125mm,,0.29,,,88197,,,,,,,,,,,2275,,,2275,,,,,,,,,2692.31,2A46M,2.25,47,,,156.5,28,6.6,28,6.6,1,0.4,700,144,Main Gun
,,,15,152mm,,0.06,350,350,88391,,,,,,,,true,,,12250,,,12250,,1225,,,1225,,,,1057.69,D-1,2.01,152,,175,304,10,15,10,12,1,,250,,Howitzer
,,,4,81mm,,0.06,175,175,87121,,,,,,,,true,,,4900,,,4900,,490,,,490,,,,692.31,M-3,1.54,40.5,,100,121.5,10,4,10,2,1,,120,,Mortar
,1,0.45,0.6,5.56mm,,0.57,,,86003,,,,,,,,,,,525,525,,525,,2,,,2,,,,3461.54,Vektor R5,1.556,2.5,,,10,6,4.5,60,2,1,0.3,6,40,Assault Rifles
,1,0.8,0.2,7.62mm,,0.57,,,83476,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,H&K G3KA4,1.762,3,,,10,8,3,80,1.5,1,0.8,8,50,Assault Rifles
,0.5,0.15,1,7.62mm,,0.57,,,81287,,,,,,,,,,,875,525,,875,,,,,,,,,3461.54,PKT,1.762,3,,,10,10,2,100,0.8,1,0.05,20,55,MMG
,3,0.35,1,Infrared,,0.57,,,81661,,true,,true,,,,,,,,2275,1820,,,,,,,1500,10,7000,1500,Redeye,2,105,,,210,1,6,1,6,1,0.35,35,120,SAM
,4,0.4,0.2,Infrared,,0.57,,,93560,,true,,true,,,,,,,,2100,3500,,,,420,700,,2000,10,9000,2000,Rb 24J,2,140,,,280,1,2,1,2,1,0.4,400,160,AAM
25,1,0.7,2,SACLOS,,0.97,,,89179,,,HEAT,true,,,,,,,2625,,,2625,,175,,,175,750,1.9,900,750,TOW 2,2,5,,,400,4,15,4,1,1,0.5,875,150,ATGM
,3,0.65,1.4,105mm,,0.29,,,85935,,,,,,,,,,,2275,,,2275,,,,,,,,,2692.31,M68A1,2.05,39.5,,,131.5,1,6,1,1,1,0.5,20,121,Main Gun
,6,0.45,0.2,Infrared,,0.57,,,92959,,true,,true,,,,,,,,2100,6300,,,,420,700,,1000,10,15000,1000,R-27T Vympel,2,210,,,420,1,2,1,2,1,0.45,700,240,AAM
20,4,0.5,0.2,Radar,,0.29,,,85864,,true,HEAT,true,,,,,,,,,,7700,,,,,770,400,10,1500,400,RGM-84 Harpoon,2,200,,,400,4,20,4,1,1,0.4,1000,,SSM
,,,5,155mm,,0.06,210,210,84279,,,,,,,,true,,,41300,,,41300,,4130,,,4130,,,,1057.69,CN98,2.03,155,,175,310,6,15,6,5,1,,505,,Howitzer
,1,0.95,2,20mm,,0.57,,,87332,,,,,,,,,,,1750,,,1750,,87,,,87,,,,3461.54,NTW-20,3.5,7.5,,,25,1,4,1,4,1,0.2,12,40,Sniper Rifle
11,1,0.5,1,90mm,,0.29,,,83209,,,KE,,,,,,,,1925,,,1925,,,,,,,,,3461.54,F4,1.9,2.5,,,225,1,6,1,1,1,0.05,15,104,Main Gun
,1,0.8,0.6,7.62mm,,0.57,,,83833,,,,,,,,,,,595,595,,595,,2,,,2,,,,3461.54,BM 59 ITAL-TA,1.762,3,,,10,6,6,60,4,1,0.2,6,50,Battle Rifle
,3,0.45,1.4,115mm,,0.29,,,88035,,,,,,,,,,,2275,,,2275,,,,,,,,,2692.31,2A20,2.15,43.5,,,144,1,10,1,1,1,0.15,25,133,Main Gun
,4,0.5,1.4,125mm,,0.29,,,88096,,,,,,,,,,,2100,,,2100,,,,,,,,,2692.31,2A26,2.25,47,,,156.5,28,8.5,28,8.5,1,0.25,700,144,Main Gun
,0.5,0.2,2,7.62mm,,0.57,,,86928,,,,,,,,,,,875,595,,875,,87,,,87,,,,3461.54,M60,2.25,3,,,50,10,5,100,1,1,0.05,10,55,LMG
,1,0.4,1,7.62mm,,0.57,,,81351,,,,,,,,,,,595,595,,595,,2,,,2,,,,3461.54,C1A1 SLR,1.762,3,,,10,4,8,40,4,1,0.1,4,50,Battle Rifle
,5,0.55,1,Infrared,,0.57,,,82738,,true,,true,,,,,,,,2450,1960,,,,,,,2000,10,9000,2000,QW-1,2,175,,,350,1,6,1,6,1,0.55,63,200,SAM
,2,0.3,0.2,68mm,,0.57,,,90267,,,,,,,,,,,2100,,,2100,,700,,,700,,,,2307.69,SNEB,1.453333,25.5,,,85,6,5,6,0.2,2,0.2,92,157,Rocket Pod
,3,0.5,1,Infrared,,0.57,,,90611,,true,,true,,,,,,,,2275,1820,,,,,,,1000,10,5000,1000,Strela-3,2,105,,,210,4,10,4,2,1,0.5,140,120,SAM
1,1,0.1,1,14.5mm,,0.57,,,82317,,,KE,,,,,,,,1400,,,1400,,,,,,,,,3461.54,ZPTU-4,1.29,5.5,,,18.5,24,8,160,0.2,1,0.05,80,40,HMG
,1,0.6,0.2,5.56mm,,0.57,,,84475,,,,,,,,,,,525,525,,525,,2,,,2,,,,3461.54,C7 Carbine,1.556,2.5,,,10,8,3,80,1.3,1,0.4,8,40,Assault Rifles
,3,,4,81mm,,0.06,105,105,87120,,,,,,,,,,,4900,,,4900,,490,,,490,,,,692.31,M-3,1.54,40.5,,,121.5,5,8,5,2,1,,120,187,Mortar
27,1,0.5,2,SALH,,0.63,,,83761,,,HEAT,true,,,,,,,2975,,,2975,,175,,,175,1000,10,1400,1000,Spike NLOS,2,5,,,400,6,20,6,1,1,0.4,1148,150,ATGM
,7,,30,155mm,,0.06,210,210,81581,,,,,,,,,,,23800,,,23800,,2380,,,2380,,,,1057.69,GCT F1,2.03,155,,,310,6,30,6,7.5,1,,290,357,Howitzer
,1,0.3,1,7.62mm,,0.57,,,82683,,,,,,,,,,,525,525,,525,,2,,,2,,,,3461.54,QBZ-81,1.762,3,,,10,4,6,40,3,1,0.15,4,40,Assault Rifles
,1,0.8,0.2,7.62mm,,0.57,,,84482,,,,,,,,,,,595,595,,595,,2,,,2,,,,3461.54,FAL,1.762,3,,,10,8,4,80,2,1,0.2,8,50,Battle Rifle
,1,0.5,0.2,30mm,,0.57,,,90537,,,,,,,,,,,1575,1575,,1575,,,,,,,,,3461.54,Twin M230,1.6,11.5,,,37.5,4,1.4,30,0.4,1,0.05,30,60,Twin Autocannon
,0.5,0.4,2,7.62mm,,0.57,,,82694,,,,,,,,,,,770,595,,770,,,,,,,,,3461.54,Type 81,2.25,3,,,50,8,4,75,0.8,1,0.2,8,40,SAW
,6,0.4,1,100mm,,0.29,,,89652,,,,,,,,,,2800,4725,2100,1400,4725,,,,,,,,,2692.31,68TR,2,75,,,125,6,5,6,0.8,1,0.4,180,58,Naval Gun
,1,0.3,1,20mm,,0.57,,,83277,,,,,,,,,,,1575,1575,,1575,,,,,,,,,3461.54,Rh 202,1.4,7.5,,,25,2,0.8,15,0.4,1,0.15,15,40,Autocannon
,0.5,0.4,2,7.62mm,,0.57,,,81669,,,,,,,,,,,875,595,,875,,,,,,,,,3461.54,M60E3,2.25,3,,,50,10,5,100,1,1,0.25,10,55,SAW
,1,0.65,1,35mm Radar,,0.11,,,83572,,,,,,true,,,,,1050,2800,2625,1050,,,,,,,,,3461.54,Twin GDF-001,5.4,13.5,,,76.5,92,15,680,0.4,1,0.55,680,140,Twin Autocannon
,3,0.65,1.4,105mm,,0.29,,,87191,,,,,,,,,,,2275,,,2275,,,,,,,,,2692.31,OMC 105,2.05,39.5,,,131.5,1,7.5,1,1,1,0.6,20,121,Main Gun
,3,0.6,1.4,100mm,,0.57,,,87967,,,,,,,,,,,2275,,,2275,,,,,,,,,2692.31,D-10T,2,37.5,,,125,1,7.5,1,1,1,0.15,20,115,Main Gun
,,,4,81mm,,0.06,175,175,89602,,,,,,,,true,,,4900,,,4900,,490,,,490,,,,692.31,L16A2,1.54,40.5,,250,121.5,10,4,10,2,1,,120,,Mortar
,1,0.05,1.4,7.62mm,,0.57,,,86949,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,M14,1.762,3,,,10,3,12,30,8,1,0.05,3,50,Battle Rifle
,3,0.5,1.4,90mm,,0.29,,,83210,,,,,,,,,,,1925,,,1925,,,,,,,,,2692.31,F4,1.9,34,,,112.5,1,6,1,1,1,0.05,15,104,Main Gun
4,1,0.3,1,30mm,,0.57,,,82428,,,KE,,,,,,,,1750,,,1750,,,,,,,,,3461.54,M-89,1.6,11.5,,,37.5,2,1,15,0.6,1,0.2,15,60,Autocannon
,6,0.65,0.2,Radar,,0.57,,,87210,,,,true,,true,,,,,,3500,4200,,,,,,,2000,10,15000,2000,SAHV-3,2,210,,,420,4,30,4,1,1,0.05,612,240,SAM
13,1,0.5,1,105mm,,0.29,,,88600,,,KE,,,,,,,,2100,,,2100,,,,,,,,,3461.54,L7A3,2.05,2.5,,,262.5,4,12,4,4,1,0.35,80,121,Main Gun
,1,0.3,1,5.56mm,,0.57,,,81782,,,,,,,,,,,525,525,,525,,2,,,2,,,,3461.54,M16,1.556,2.5,,,10,4,6,40,3,1,0.15,4,40,Assault Rifles
,4,0.6,1.4,120mm,,0.29,,,82802,,,,,,,,,,,2275,,,2275,,,,,,,,,2692.31,L11A5,2.2,45,,,150,1,8.5,1,1,1,0.4,25,138,Main Gun
,1,0.8,0.2,7.62mm,,0.57,,,87062,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,Rk 62/76 TP,1.762,3,,,10,8,3,80,1.5,1,0.8,8,40,Assault Rifles
,4,0.4,1,Infrared,,0.57,,,83516,,true,,true,,,,,,,,2450,1960,,,,,,,2000,10,9000,2000,Igla-1,2,140,,,280,1,6,1,6,1,0.4,50,160,SAM
,0.75,0.2,0.4,12.7mm,,1.15,,,92478,,,,,,,,,,,2100,1575,1400,2100,,,,,,,,,5769.23,Quad AN/M3,1.254,5,,,16,10,1,55,0.3,1,0.2,50,90,MMG
,1,0.6,0.6,7.62mm,,0.57,,,84882,,,,,,,,,,,595,595,,595,,2,,,2,,,,3461.54,Gv M75,1.762,3,,,10,6,6,60,3,1,0.15,6,50,Battle Rifle
11,1,0.4,1,100mm,,0.57,,,82871,,,KE,,,,,,,,1925,,,1925,,,,,,,,,3461.54,D-10T,2,2.5,,,250,1,7.5,1,1,1,0.15,20,115,Main Gun
,3,0.3,0.2,70mm,,1.15,,,91461,,,,,,,,,,,2450,,,2450,,700,,,700,,,,2307.69,M151 Hydra,1.466667,26.5,,,87.5,38,1,38,0.2,19,0.3,700,161,Rocket Pod
23,1,0.65,1,120mm,,0.29,,,82573,,,KE,,,,,,,,2275,,,2275,,,,,,,,,3461.54,OTO Breda 120mm L/44,2.2,2.5,,,300,1,6.6,1,1,1,0.55,25,138,Main Gun
,8,0.4,0.2,SemAct radar,,0.57,,,93141,,,,true,,true,,,,,,,7000,,,,,700,,1000,10,15000,1000,R-40R Vympel,2,280,,,560,1,0.2,1,0.2,1,0.4,700,320,AAM
,3,0.6,1.4,105mm,,0.29,,,89080,,,,,,,,,,,2275,,,2275,,,,,,,,,2692.31,L7A3,2.05,39.5,,,131.5,1,7.5,1,1,1,0.55,20,121,Main Gun
,2,0.5,1,80mm,,0.86,,,83937,,,,,,,,,,,1400,,,1400,,,,,,,,,2692.31,Breda Folgore,1.8,31,,,100,1,8,1,1,1,0.05,20,50,LAW
,1,0.45,0.6,5.56mm,,0.57,,,83311,,,,,,,,,,,525,525,,525,,2,,,2,,,,3461.54,FAMAS,1.556,2.5,,,10,6,4.5,60,2.2,1,0.3,6,40,Assault Rifles
,13,0.15,,400kg,,0.57,,,93306,,,,,,,,,,,3500,,,3500,,,,,,,,,576.92,SAMP T200,6,160,,,260,8,5,8,0.2,2,0.15,2500,600,HE Bomb
20,4,0.7,0.2,Radar,,0.29,,,82477,,true,HEAT,true,,,,,,,,,,7000,,,,,700,400,10,1500,400,AM-39 Exocet,2,200,,,400,4,20,4,1,1,0.7,1000,,SSM
,4,0.5,0.2,Infrared,,0.57,,,92698,,true,,true,,,,,,,,2100,4200,,,,420,700,,2000,10,9000,2000,PL-8,2,140,,,280,1,2,1,2,1,0.5,600,160,AAM
,2,0.3,0.2,57mm,,0.57,,,92603,,,,,,,,,,,2450,,,2450,,700,,,700,,,,2307.69,S-5M,1.38,21.5,,,71.5,32,1,32,0.2,16,0.3,750,132,Rocket Pod
15,1,0.4,1,82mm HEAT,,0.57,,,82515,,,HEAT,,,,,,,,1400,,,1400,,,,,,,,,3461.54,BsT M-60A,1.82,2.5,,,205,1,8,1,1,1,0.05,20,190,Recoilless Rifle
12,1,0.4,,82mm HEAT,,0.29,,,84741,,,HEAT,,,,,,,,1400,,,1400,,,,,,,,,3461.54,T21 Tarasnice,1.82,2.5,,,205,1,8,1,1,1,0.05,20,190,LAW
16,1,0.6,1,105mm,,0.29,,,86404,,,KE,,,,,,,,2275,,,2275,,,,,,,,,3461.54,L7A3,2.05,2.5,,,262.5,1,6,1,1,1,0.35,20,121,Main Gun
,1,0.3,1,5.56mm,,0.57,,,87163,,,,,,,,,,,525,525,,525,,2,,,2,,,,3461.54,Vektor R4,1.556,2.5,,,10,4,6,40,3,1,0.15,4,40,Assault Rifles
,1,0.45,0.6,7.62mm,,0.57,,,82691,,,,,,,,,,,525,525,,525,,2,,,2,,,,3461.54,QBZ-81,1.762,3,,,10,6,4.5,60,2.2,1,0.23,6,40,Assault Rifles
,0.5,0.3,2,7.62mm,,0.57,,,86975,,,,,,,,,,,875,595,,875,,,,,,,,,3461.54,M60 'Shorty',2.25,3,,,50,10,5,100,1,1,0.15,10,55,SAW
21,1,0.7,,83mm HEAT,,0.86,,,88899,,,HEAT,,,,,,,,875,,,875,,,,,,,,,769.23,SMAW,2.66,2.5,,,207.5,1,4,1,1,1,0.05,10,332,LAW
,1,0.3,0.4,30mm,,1.15,,,92583,,,,,,,,,,,2800,1575,1575,2800,,,,,,,,,5769.23,GSh-2-30,1.6,11.5,,,75,10,2,50,0.2,1,0.3,50,69,Autocannon
20,4,0.65,0.2,Radar,,0.29,,,91415,,true,HEAT,true,,,,,,,,,,5600,,,,,700,400,10,2000,400,AGM-84 Harpoon,2,200,,,400,2,1,2,0.4,1,0.65,2800,,SSM
,1,0.5,1,7.62mm,,0.57,,,83883,,,,,,,,,,,595,595,,595,,2,,,2,,,,3461.54,BM 59,1.762,3,,,10,4,8,40,5.3,1,0.1,4,50,Battle Rifle
,1,0.2,1,20mm,,0.57,,,87107,,,,,,,,,,,1575,1575,,1575,,,,,,,,,3461.54,GI-2,1.4,7.5,,,25,2,0.8,15,0.4,1,0.1,15,40,Autocannon
3,1,0.6,1,40mm,,0.11,,,84905,,,KE,,,true,,,,,1925,,,1925,,,,,,,,,3461.54,L70B,5.6,15,,,80,11,3.8,90,1,1,0.35,90,160,Autocannon
28,1,0.5,,SALH,,0.57,,,93179,,,HEAT,true,,,,,,,3150,,,3150,,700,,,700,2000,10,4000,2000,Kh-25ML,2,5,,,400,1,1,1,1,1,0.5,630,150,AGM
,,,4,60mm,,0.06,175,175,87261,,,,,,,,true,,,3850,,,3850,,385,,,385,,,,692.31,M224 mortar,1.4,30,,75,90,12,4,12,2,1,,96,,Mortar
20,4,0.55,4,Radar,,0.29,,,89653,,true,HEAT,true,,true,,,,,,,,7000,,,,,700,400,10,2000,400,MM-40 Exocet,2,200,,,400,4,30,4,1,1,0.55,1000,,SSM
,1,0.6,0.6,5.56mm,,0.57,,,86934,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,K2,1.556,2.5,,,10,6,4.5,60,2.2,1,0.6,6,40,Assault Rifles
,7,,10,155mm,,0.06,140,140,84278,,,,,,,,,,,41300,,,41300,,4130,,,4130,,,,1057.69,CN98,2.03,155,,,310,6,30,6,5,1,,505,357,Howitzer
25,1,0.7,2,SALH,,0.57,,,85146,,,HEAT,true,,,,,,,2800,,,2800,,175,,,175,1000,1.2,1400,1000,ADATS,2,5,,,400,8,20,8,1,1,0.7,1600,150,Dual purpose missile
20,3,0.6,0.2,Radar,,0.29,,,93503,,true,HEAT,true,,,,,,,,,,4550,,,,,700,300,10,1500,300,YJ-8K,2,200,,,400,2,1,2,0.4,1,0.6,2000,,SSM
,1,0.8,0.2,5.56mm,,0.57,,,83873,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,AR 70/90,1.556,2.5,,,10,8,3,80,1.5,1,0.8,8,40,Assault Rifles
8,1,0.4,1,90mm,,0.29,,,85444,,,KE,,,,,,,,1750,,,1750,,,,,,,,,3461.54,M36,1.9,2.5,,,225,1,7.5,1,1,1,0.05,15,104,Main Gun
,7,0.5,,Radar,,0.57,,,89633,,true,,true,,true,,,,3500,,3500,4900,,,,,,,2000,10,15000,2000,SM2 MR block II,2,245,,,490,2,6,2,1,1,0.5,168,280,Naval SAM
,,,15,155mm,,0.06,210,210,84989,,,,,,,,true,,,24500,,,24500,,2450,,,2450,,,,1057.69,FH155,2.03,155,,175,310,6,15,6,10,1,,290,,Howitzer
2,1,0.25,1,30mm,,0.57,,,90675,,,KE,,,,,,,,1575,,,1575,,,,,,,,,3461.54,GSh-30k,1.6,11.5,,,37.5,4,0.6,30,0.2,1,0.15,30,60,Twin Autocannon
,1,0.6,0.6,5.56mm,,0.57,,,86004,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,Vektor R5,1.556,2.5,,,10,6,4.5,60,2,1,0.6,6,40,Assault Rifles
,12,0.15,,340kg,,0.57,,,92254,,,,,,,,,,,3500,,,3500,,,,,,,,,576.92,M117,6,143.5,,,236,8,5,8,0.2,2,0.15,3000,600,HE Bomb
,15,0.15,,500kg,,0.57,,,92897,,,,,,,,,,,3500,,,3500,,,,,,,,,576.92,Mk 83,6,187.5,,,300,10,5,10,0.2,2,0.15,3500,600,HE Bomb
20,1,0.5,,Antiradar,,0.57,,,92364,,true,HEAT,true,,,true,,,,4200,,,4200,,875,,,875,2000,10,15000,2000,AGM-45B Shrike,2,5,,,10,2,1.8,2,0.4,1,0.5,4000,150,Anti-Radar
,7,,30,155mm,,0.06,350,350,84974,,,,,,,,,,,14000,,,14000,,1400,,,1400,,,,1057.69,M126,2.03,155,,,310,7,30,7,10,1,,175,357,Howitzer
15,1,0.6,1,105mm,,0.29,,,85561,,,KE,,,,,,,,2275,,,2275,,,,,,,,,3461.54,M68A1,2.05,2.5,,,262.5,1,6,1,1,1,0.3,20,121,Main Gun
,0.5,0.2,1,7.62mm,,0.57,,,82541,,,,,,,,,,,875,525,,875,,,,,,,,,3461.54,Twin MG4,1.762,3,,,10,20,4,200,0.4,1,0.05,40,55,MMG
16,1,0.25,1,152mm HEAT,,0.29,,,86423,,,HEAT,,,,,,,,1925,,,1925,,,,,,,,,3461.54,ShKH-77,2.52,2.5,,,380,1,8.5,1,1,1,0.05,30,175,Main Gun
,1,0.45,,30mm Radar,,0.11,,,89808,,,,,,true,,,,3150,1400,2800,700,1400,,,,,,,,,3461.54,Kashtan CIWS,6.4,46,,,150,30,6,300,0.2,1,0.45,10,,CIWS
19,1,0.65,1,125mm,,0.29,,,85697,,,KE,,,,,,,,2275,,,2275,,,,,,,,,3461.54,2A46M,2.25,2.5,,,312.5,24,7.5,24,7.5,1,0.6,600,144,Main Gun
,9,0.5,0.2,Radar,,0.57,,,81398,,,,true,,true,,,,,,2625,4200,,,,525,,,1250,10,15000,1250,9M38,2,315,,,630,4,30,4,1,1,0.5,702,360,SAM
2,1,0.15,1,23mm,,0.57,,,85882,,,KE,,,,,,,,1575,,,1575,,,,,,,,,3461.54,AZP-23,1.46,8.5,,,29,2,1.2,15,0.8,1,0.05,15,46,Autocannon
,4,0.55,1,SACLOS,,0.57,,,86850,,,,true,,,,,,,,2800,2240,,,,,,,1500,10,7000,1500,RBS 90,2,140,,,280,1,5,1,0.2,1,0.55,57,160,SAM
,1,0.3,0.6,7.62mm,,0.57,,,86260,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,AK4,1.762,3,,,10,6,6,60,3,1,0.15,6,50,Battle Rifle
,7,,15,155mm,,0.06,245,245,88320,,,,,,,,,,,35000,,,35000,,3500,,,3500,,,,1057.69,155K70 How,2.03,155,,,310,3,30,3,5,1,,135,357,Howitzer
13,1,0.35,2,SACLOS,,0.97,,,84572,,,HEAT,true,,,,,,,1925,,,1925,,175,,,175,750,1.3,900,750,MAT,2,5,,,400,2,10,2,1,1,0.05,83,150,ATGM
,1,0.3,0.6,9mm PB,,0.57,,,88752,,,,,,,,,,,455,455,,455,,2,,,2,,,,3461.54,Uzi,1.9,3.5,,,10,6,3,60,1.5,1,0.3,6,30,SMG
,4,0.3,0.2,128mm,,0.57,,,90331,,,,,,,,,,,2275,,,2275,,700,,,700,,,,2307.69,Plamen A,1.853333,48,,,159,4,2,4,0.2,1,0.2,116,293,Rocket Pod
,6,0.5,0.2,SemAct radar,,0.57,,,93913,,,,true,,true,,,,,,,7700,,,,,700,,1000,10,15000,1000,Skyflash,2,210,,,420,1,0.2,1,0.2,1,0.5,700,240,AAM
,1,0.4,1.4,7.5mm,,0.57,,,83957,,,,,,,,,,,595,595,,595,,2,,,2,,,,3461.54,M/39,1.75,3,,,10,3,12,30,8,1,0.05,3,55,Battle Rifle
16,1,0.65,1,105mm,,0.29,,,81891,,,KE,,,,,,,,2275,,,2275,,,,,,,,,3461.54,OTO Melara 105/52,2.05,2.5,,,262.5,1,7.5,1,1,1,0.6,20,121,Main Gun
,5,0.45,1,SACLOS,,0.57,,,89158,,,,true,,,,,,,,2450,1960,,,,,,,1500,10,7000,1500,Javelin LML,2,175,,,350,3,12,3,0.2,1,0.45,189,200,SAM
,23,0.25,,1400kg,,0.57,,,92781,,,,,,,,,,,3500,,,3500,,,,,,,,,576.92,M1118,6,435,,,660,1,5,1,0.2,1,0.25,2000,600,HE Bomb
,1,0.45,0.6,5.45mm,,0.57,,,89110,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,LADA AK,1.545,2.5,,,10,6,4.5,60,2.2,1,0.23,6,40,Assault Rifles
4,1,0.3,1,60mm HEAT,,0.29,,,81418,,,HEAT,,,,,,,,1050,,,1050,,,,,,,,,3461.54,HB 60,1.6,2.5,,,150,1,10,1,1,1,0.05,15,69,Main Gun
,4,0.55,1.4,125mm,,0.29,,,88221,,,,,,,,,,,2275,,,2275,,,,,,,,,2692.31,2A46M,2.25,47,,,156.5,24,6.6,24,6.6,1,0.45,600,144,Main Gun
15,1,0.45,1,SACLOS,,1.43,,,84746,,,HEAT,true,,,,,,,1575,,,1575,,175,,,175,500,1.7,750,500,Metys,2,5,,,400,1,5,1,1,1,0.1,51,150,ATGM
,0.75,0.15,1,12.7mm,,0.57,,,89565,,,,,,,,,,,1225,1225,,1225,,,,,,,,,3461.54,Dual M2 Browning,1.254,5,,,16,20,4,200,0.4,1,0.15,40,90,MMG
,3,0.45,1.4,105mm,,0.29,,,84636,,,,,,,,,,,1925,,,1925,,,,,,,,,2692.31,L7A3,2.05,39.5,,,131.5,1,6,1,1,1,0.35,20,121,Main Gun
,1,0.6,0.6,5.56mm,,0.57,,,82590,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,CAR-15,1.556,2.5,,,10,6,4.5,60,2,1,0.6,6,40,Assault Rifles
,4,0.4,0.2,Infrared,,0.57,,,91473,,true,,true,,,,,,,,2100,3500,,,,420,700,,2000,10,9000,2000,AIM-9J,2,140,,,280,1,2,1,2,1,0.4,400,160,AAM
,2,0.4,1.4,75mm,,0.29,,,87867,,,,,,,,,,,1750,,,1750,,,,,,,,,2692.31,StuK 40L/48,1.75,28.5,,,94,1,7.5,1,1,1,0.05,5,87,Main Gun
,1,0.4,1,7.62mm,,0.57,,,81614,,,,,,,,,,,595,595,,595,,2,,,2,,,,3461.54,L1A1 SLR,1.762,3,,,10,4,8,40,4,1,0.1,4,50,Battle Rifle
,1,0.15,1,37mm,,0.11,,,88556,,,,,,,,,,,1400,1400,,1400,,,,,,,,,3461.54,T63,5.48,11.5,,,78,4,2,30,2,1,0.05,30,148,Twin Autocannon
